# Configuration: STAG 12 Pack (Pack 3S4P) @ 60.0°C
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
18.6,4.126595,99.425926,-20.632974,-5,-0.025833,59.999677,-0.016719,0.017156
18.7,4.126512,99.42284,-20.632561,-5,-0.025972,59.999678,-0.016683,0.017112
18.8,4.12643,99.419753,-20.632148,-5,-0.026111,59.999679,-0.016647,0.017069
18.9,4.126347,99.416667,-20.631735,-5,-0.02625,59.999679,-0.016611,0.017026
19,4.126265,99.41358,-20.631323,-5,-0.026389,59.99968,-0.016575,0.016984
19.1,4.126182,99.410494,-20.630911,-5,-0.026528,59.999681,-0.01654,0.016943
19.2,4.1261,99.407407,-20.6305,-5,-0.026667,59.999682,-0.016505,0.016902
19.3,4.126018,99.404321,-20.630089,-5,-0.026806,59.999683,-0.01647,0.016862
19.4,4.125936,99.401235,-20.629678,-5,-0.026944,59.999683,-0.016436,0.016822
19.5,4.125853,99.398148,-20.629267,-5,-0.027083,59.999684,-0.016402,0.016783
19.6,4.125771,99.395062,-20.628857,-5,-0.027222,59.999685,-0.016368,0.016744
19.7,4.125689,99.391975,-20.628447,-5,-0.027361,59.999685,-0.016335,0.016706
19.8,4.125607,99.388889,-20.628037,-5,-0.0275,59.999686,-0.016301,0.016669
19.9,4.125526,99.385802,-20.627628,-5,-0.027639,59.999687,-0.016268,0.016631
20,4.125444,99.382716,-20.627218,-5,-0.027778,59.999688,-0.016236,0.016595
20.1,4.125362,99.37963,-20.62681,-5,-0.027917,59.999688,-0.016203,0.016558
20.2,4.12528,99.376543,-20.626401,-5,-0.028056,59.999689,-0.016171,0.016522
20.3,4.125198,99.373457,-20.625992,-5,-0.028194,59.99969,-0.016139,0.016487
20.4,4.125117,99.37037,-20.625584,-5,-0.028333,59.99969,-0.016108,0.016451
20.5,4.125035,99.367284,-20.625176,-5,-0.028472,59.999691,-0.016076,0.016417
20.6,4.124954,99.364198,-20.624769,-5,-0.028611,59.999692,-0.016045,0.016382
20.7,4.124872,99.361111,-20.624361,-5,-0.02875,59.999692,-0.016014,0.016348
20.8,4.124791,99.358025,-20.623954,-5,-0.028889,59.999693,-0.015983,0.016314
20.9,4.124709,99.354938,-20.623547,-5,-0.029028,59.999693,-0.015953,0.01628
21,4.124628,99.351852,-20.62314,-5,-0.029167,59.999694,-0.015922,0.016247
21.1,4.124547,99.348765,-20.622733,-5,-0.029306,59.999695,-0.015892,0.016214
21.2,4.124465,99.345679,-20.622327,-5,-0.029444,59.999695,-0.015862,0.016181
21.3,4.124384,99.342593,-20.62192,-5,-0.029583,59.999696,-0.015832,0.016149
21.4,4.124303,99.339506,-20.621514,-5,-0.029722,59.999697,-0.015803,0.016117
21.5,4.124222,99.33642,-20.621108,-5,-0.029861,59.999697,-0.015774,0.016085
21.6,4.12414,99.333333,-20.620702,-5,-0.03,59.999698,-0.015744,0.016053
21.7,4.124059,99.330247,-20.620297,-5,-0.030139,59.999698,-0.015715,0.016022
21.8,4.123978,99.32716,-20.619891,-5,-0.030278,59.999699,-0.015686,0.015991
21.9,4.123897,99.324074,-20.619486,-5,-0.030417,59.999699,-0.015658,0.01596
22,4.123816,99.320988,-20.619081,-5,-0.030556,59.9997,-0.015629,0.015929
22.1,4.123735,99.317901,-20.618676,-5,-0.030694,59.999701,-0.015601,0.015899
22.2,4.123654,99.314815,-20.618271,-5,-0.030833,59.999701,-0.015573,0.015868
22.3,4.123573,99.311728,-20.617867,-5,-0.030972,59.999702,-0.015545,0.015838
22.4,4.123492,99.308642,-20.617462,-5,-0.031111,59.999702,-0.015517,0.015809
22.5,4.123412,99.305556,-20.617058,-5,-0.03125,59.999703,-0.015489,0.015779
22.6,4.123331,99.302469,-20.616654,-5,-0.031389,59.999703,-0.015461,0.015749
22.7,4.12325,99.299383,-20.61625,-5,-0.031528,59.999704,-0.015434,0.01572
22.8,4.123169,99.296296,-20.615846,-5,-0.031667,59.999705,-0.015406,0.015691
22.9,4.123088,99.29321,-20.615442,-5,-0.031806,59.999705,-0.015379,0.015662
23,4.123008,99.290123,-20.615038,-5,-0.031944,59.999706,-0.015352,0.015633
23.1,4.122927,99.287037,-20.614635,-5,-0.032083,59.999706,-0.015325,0.015605
23.2,4.122846,99.283951,-20.614232,-5,-0.032222,59.999707,-0.015298,0.015576
23.3,4.122766,99.280864,-20.613828,-5,-0.032361,59.999707,-0.015271,0.015548
23.4,4.122685,99.277778,-20.613425,-5,-0.0325,59.999708,-0.015245,0.01552
23.5,4.122604,99.274691,-20.613022,-5,-0.032639,59.999708,-0.015218,0.015492
23.6,4.122524,99.271605,-20.612619,-5,-0.032778,59.999709,-0.015192,0.015464
23.7,4.122443,99.268519,-20.612216,-5,-0.032917,59.999709,-0.015165,0.015436
23.8,4.122363,99.265432,-20.611813,-5,-0.033056,59.99971,-0.015139,0.015409
23.9,4.122282,99.262346,-20.611411,-5,-0.033194,59.99971,-0.015113,0.015381
24,4.122202,99.259259,-20.611008,-5,-0.033333,59.999711,-0.015087,0.015354
24.1,4.122121,99.256173,-20.610606,-5,-0.033472,59.999711,-0.015061,0.015327
24.2,4.122041,99.253086,-20.610204,-5,-0.033611,59.999712,-0.015035,0.0153
24.3,4.12196,99.25,-20.609801,-5,-0.03375,59.999712,-0.01501,0.015273
24.4,4.12188,99.246914,-20.609399,-5,-0.033889,59.999713,-0.014984,0.015246
24.5,4.121799,99.243827,-20.608997,-5,-0.034028,59.999713,-0.014959,0.01522
24.6,4.121719,99.240741,-20.608595,-5,-0.034167,59.999714,-0.014933,0.015193
24.7,4.121639,99.237654,-20.608193,-5,-0.034306,59.999714,-0.014908,0.015167
24.8,4.121558,99.234568,-20.607791,-5,-0.034444,59.999715,-0.014882,0.01514
24.9,4.121478,99.231481,-20.60739,-5,-0.034583,59.999715,-0.014857,0.015114
25,4.121398,99.228395,-20.606988,-5,-0.034722,59.999716,-0.014832,0.015088
25.1,4.121317,99.225309,-20.606586,-5,-0.034861,59.999716,-0.014807,0.015062
25.2,4.121237,99.222222,-20.606185,-5,-0.035,59.999717,-0.014782,0.015036
25.3,4.121157,99.219136,-20.605783,-5,-0.035139,59.999717,-0.014757,0.01501
25.4,4.121076,99.216049,-20.605382,-5,-0.035278,59.999718,-0.014732,0.014984
25.5,4.120996,99.212963,-20.604981,-5,-0.035417,59.999718,-0.014708,0.014959
25.6,4.120916,99.209877,-20.604579,-5,-0.035556,59.999719,-0.014683,0.014933
25.7,4.120836,99.20679,-20.604178,-5,-0.035694,59.999719,-0.014658,0.014908
25.8,4.120755,99.203704,-20.603777,-5,-0.035833,59.99972,-0.014634,0.014882
25.9,4.120675,99.200617,-20.603376,-5,-0.035972,59.99972,-0.014609,0.014857
26,4.120595,99.197531,-20.602975,-5,-0.036111,59.999721,-0.014585,0.014832
26.1,4.120515,99.194444,-20.602574,-5,-0.03625,59.999721,-0.01456,0.014807
26.2,4.120435,99.191358,-20.602173,-5,-0.036389,59.999722,-0.014536,0.014782
26.3,4.120355,99.188272,-20.601773,-5,-0.036528,59.999722,-0.014512,0.014757
26.4,4.120274,99.185185,-20.601372,-5,-0.036667,59.999723,-0.014488,0.014732
26.5,4.120194,99.182099,-20.600971,-5,-0.036806,59.999723,-0.014463,0.014707
26.6,4.120114,99.179012,-20.60057,-5,-0.036944,59.999724,-0.014439,0.014682
26.7,4.120034,99.175926,-20.60017,-5,-0.037083,59.999724,-0.014415,0.014657
26.8,4.119954,99.17284,-20.599769,-5,-0.037222,59.999724,-0.014391,0.014633
26.9,4.119874,99.169753,-20.599369,-5,-0.037361,59.999725,-0.014367,0.014608
27,4.119794,99.166667,-20.598968,-5,-0.0375,59.999725,-0.014343,0.014584
27.1,4.119714,99.16358,-20.598568,-5,-0.037639,59.999726,-0.01432,0.014559
27.2,4.119634,99.160494,-20.598168,-5,-0.037778,59.999726,-0.014296,0.014535
27.3,4.119553,99.157407,-20.597767,-5,-0.037917,59.999727,-0.014272,0.01451
27.4,4.119473,99.154321,-20.597367,-5,-0.038056,59.999727,-0.014248,0.014486
27.5,4.119393,99.151235,-20.596967,-5,-0.038194,59.999728,-0.014225,0.014462
27.6,4.119313,99.148148,-20.596567,-5,-0.038333,59.999728,-0.014201,0.014438
27.7,4.119233,99.145062,-20.596167,-5,-0.038472,59.999729,-0.014177,0.014414
27.8,4.119153,99.141975,-20.595766,-5,-0.038611,59.999729,-0.014154,0.01439
27.9,4.119073,99.138889,-20.595366,-5,-0.03875,59.99973,-0.01413,0.014366
28,4.118993,99.135802,-20.594966,-5,-0.038889,59.99973,-0.014107,0.014342
28.1,4.118913,99.132716,-20.594566,-5,-0.039028,59.99973,-0.014083,0.014318
28.2,4.118833,99.12963,-20.594166,-5,-0.039167,59.999731,-0.01406,0.014294
28.3,4.118753,99.126543,-20.593767,-5,-0.039306,59.999731,-0.014037,0.01427
28.4,4.118673,99.123457,-20.593367,-5,-0.039444,59.999732,-0.014013,0.014246
28.5,4.118593,99.12037,-20.592967,-5,-0.039583,59.999732,-0.01399,0.014222
28.6,4.118513,99.117284,-20.592567,-5,-0.039722,59.999733,-0.013967,0.014199
28.7,4.118433,99.114198,-20.592167,-5,-0.039861,59.999733,-0.013943,0.014175
28.8,4.118353,99.111111,-20.591767,-5,-0.04,59.999734,-0.01392,0.014152
28.9,4.118274,99.108025,-20.591368,-5,-0.040139,59.999734,-0.013897,0.014128
29,4.118194,99.104938,-20.590968,-5,-0.040278,59.999734,-0.013874,0.014104
29.1,4.118114,99.101852,-20.590568,-5,-0.040417,59.999735,-0.013851,0.014081
29.2,4.118034,99.098765,-20.590169,-5,-0.040556,59.999735,-0.013828,0.014058
29.3,4.117954,99.095679,-20.589769,-5,-0.040694,59.999736,-0.013805,0.014034
29.4,4.117874,99.092593,-20.58937,-5,-0.040833,59.999736,-0.013782,0.014011
29.5,4.117794,99.089506,-20.58897,-5,-0.040972,59.999737,-0.013759,0.013987
29.6,4.117714,99.08642,-20.588571,-5,-0.041111,59.999737,-0.013736,0.013964
29.7,4.117634,99.083333,-20.588171,-5,-0.04125,59.999738,-0.013713,0.013941
29.8,4.117554,99.080247,-20.587772,-5,-0.041389,59.999738,-0.01369,0.013918
29.9,4.117474,99.07716,-20.587372,-5,-0.041528,59.999738,-0.013667,0.013894
30,4.117395,99.074074,-20.586973,-5,-0.041667,59.999739,-0.013644,0.013871
30.1,4.117315,99.070988,-20.586573,-5,-0.041806,59.999739,-0.013621,0.013848
