# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Pack (scaled by series/parallel)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
22.9,12.163633,98.939815,-364.908995,-30,-0.190833,25.009851,6.28783,-6.27783
23,12.163266,98.935185,-364.897992,-30,-0.191667,25.009852,6.288697,-6.278842
23.1,12.1629,98.930556,-364.887003,-30,-0.1925,25.009854,6.289548,-6.27984
23.2,12.162534,98.925926,-364.876028,-30,-0.193333,25.009855,6.290386,-6.280822
23.3,12.162169,98.921296,-364.865067,-30,-0.194167,25.009857,6.29121,-6.28179
23.4,12.161804,98.916667,-364.854119,-30,-0.195,25.009858,6.292021,-6.282743
23.5,12.16144,98.912037,-364.843185,-30,-0.195833,25.00986,6.292818,-6.283681
23.6,12.161075,98.907407,-364.832264,-30,-0.196667,25.009861,6.293602,-6.284606
23.7,12.160712,98.902778,-364.821356,-30,-0.1975,25.009863,6.294373,-6.285516
23.8,12.160349,98.898148,-364.81046,-30,-0.198333,25.009864,6.295132,-6.286412
23.9,12.159986,98.893519,-364.799576,-30,-0.199167,25.009865,6.295879,-6.287294
24,12.159623,98.888889,-364.788704,-30,-0.2,25.009867,6.296614,-6.288162
24.1,12.159261,98.884259,-364.777844,-30,-0.200833,25.009868,6.297337,-6.289017
24.2,12.1589,98.87963,-364.766996,-30,-0.201667,25.009869,6.298048,-6.289859
24.3,12.158539,98.875,-364.756159,-30,-0.2025,25.009871,6.298748,-6.290687
24.4,12.158178,98.87037,-364.745333,-30,-0.203333,25.009872,6.299437,-6.291503
24.5,12.157817,98.865741,-364.734517,-30,-0.204167,25.009873,6.300116,-6.292305
24.6,12.157457,98.861111,-364.723713,-30,-0.205,25.009875,6.300783,-6.293095
24.7,12.157097,98.856481,-364.712919,-30,-0.205833,25.009876,6.30144,-6.293873
24.8,12.156738,98.851852,-364.702135,-30,-0.206667,25.009877,6.302087,-6.294638
24.9,12.156379,98.847222,-364.691361,-30,-0.2075,25.009878,6.302724,-6.295392
25,12.15602,98.842593,-364.680598,-30,-0.208333,25.009879,6.303351,-6.296133
25.1,12.155661,98.837963,-364.669843,-30,-0.209167,25.00988,6.303968,-6.296863
25.2,12.155303,98.833333,-364.659099,-30,-0.21,25.009882,6.304576,-6.297582
25.3,12.154945,98.828704,-364.648363,-30,-0.210833,25.009883,6.305174,-6.298289
25.4,12.154588,98.824074,-364.637637,-30,-0.211667,25.009884,6.305763,-6.298986
25.5,12.154231,98.819444,-364.62692,-30,-0.2125,25.009885,6.306344,-6.299671
25.6,12.153874,98.814815,-364.616211,-30,-0.213333,25.009886,6.306915,-6.300346
25.7,12.153517,98.810185,-364.605511,-30,-0.214167,25.009887,6.307478,-6.301011
25.8,12.153161,98.805556,-364.59482,-30,-0.215,25.009888,6.308033,-6.301665
25.9,12.152805,98.800926,-364.584136,-30,-0.215833,25.009889,6.308579,-6.302309
26,12.152449,98.796296,-364.573461,-30,-0.216667,25.00989,6.309117,-6.302943
26.1,12.152093,98.791667,-364.562794,-30,-0.2175,25.009891,6.309647,-6.303568
26.2,12.151738,98.787037,-364.552135,-30,-0.218333,25.009892,6.310169,-6.304183
26.3,12.151383,98.782407,-364.541483,-30,-0.219167,25.009893,6.310684,-6.304789
26.4,12.151028,98.777778,-364.530839,-30,-0.22,25.009894,6.311191,-6.305385
26.5,12.150673,98.773148,-364.520203,-30,-0.220833,25.009895,6.311691,-6.305973
26.6,12.150319,98.768519,-364.509573,-30,-0.221667,25.009896,6.312183,-6.306551
26.7,12.149965,98.763889,-364.498951,-30,-0.2225,25.009897,6.312668,-6.307121
26.8,12.149611,98.759259,-364.488336,-30,-0.223333,25.009897,6.313147,-6.307682
26.9,12.149258,98.75463,-364.477728,-30,-0.224167,25.009898,6.313618,-6.308235
27,12.148904,98.75,-364.467126,-30,-0.225,25.009899,6.314083,-6.30878
27.1,12.148551,98.74537,-364.456531,-30,-0.225833,25.0099,6.314541,-6.309316
27.2,12.148198,98.740741,-364.445942,-30,-0.226667,25.009901,6.314992,-6.309845
27.3,12.147845,98.736111,-364.43536,-30,-0.2275,25.009902,6.315437,-6.310366
27.4,12.147493,98.731481,-364.424784,-30,-0.228333,25.009902,6.315876,-6.310879
27.5,12.14714,98.726852,-364.414215,-30,-0.229167,25.009903,6.316309,-6.311385
27.6,12.146788,98.722222,-364.403651,-30,-0.23,25.009904,6.316736,-6.311883
27.7,12.146436,98.717593,-364.393093,-30,-0.230833,25.009905,6.317156,-6.312374
27.8,12.146085,98.712963,-364.382542,-30,-0.231667,25.009906,6.317571,-6.312858
27.9,12.145733,98.708333,-364.371995,-30,-0.2325,25.009906,6.317981,-6.313335
28,12.145382,98.703704,-364.361455,-30,-0.233333,25.009907,6.318384,-6.313805
28.1,12.145031,98.699074,-364.35092,-30,-0.234167,25.009908,6.318782,-6.314269
28.2,12.14468,98.694444,-364.34039,-30,-0.235,25.009909,6.319175,-6.314726
28.3,12.144329,98.689815,-364.329866,-30,-0.235833,25.009909,6.319562,-6.315176
28.4,12.143978,98.685185,-364.319347,-30,-0.236667,25.00991,6.319944,-6.31562
28.5,12.143628,98.680556,-364.308833,-30,-0.2375,25.009911,6.320321,-6.316058
