# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
14.5,4.067155,99.328704,-30.503662,-7.5,-0.030208,25.009527,0.5102,-0.505966
14.6,4.066979,99.324074,-30.502341,-7.5,-0.030417,25.009535,0.510538,-0.506393
14.7,4.066804,99.319444,-30.501027,-7.5,-0.030625,25.009543,0.510869,-0.506811
14.8,4.066629,99.314815,-30.49972,-7.5,-0.030833,25.009551,0.511193,-0.507221
14.9,4.066456,99.310185,-30.498419,-7.5,-0.031042,25.009558,0.51151,-0.507621
15,4.066283,99.305556,-30.497125,-7.5,-0.03125,25.009566,0.511821,-0.508014
15.1,4.066112,99.300926,-30.495837,-7.5,-0.031458,25.009573,0.512125,-0.508398
15.2,4.065941,99.296296,-30.494556,-7.5,-0.031667,25.00958,0.512423,-0.508774
15.3,4.065771,99.291667,-30.493281,-7.5,-0.031875,25.009587,0.512715,-0.509142
15.4,4.065602,99.287037,-30.492012,-7.5,-0.032083,25.009594,0.513001,-0.509502
15.5,4.065433,99.282407,-30.490749,-7.5,-0.032292,25.0096,0.513281,-0.509855
15.6,4.065265,99.277778,-30.489491,-7.5,-0.0325,25.009607,0.513555,-0.510201
15.7,4.065099,99.273148,-30.488239,-7.5,-0.032708,25.009613,0.513824,-0.510539
15.8,4.064932,99.268519,-30.486993,-7.5,-0.032917,25.009619,0.514087,-0.510871
15.9,4.064767,99.263889,-30.485752,-7.5,-0.033125,25.009625,0.514345,-0.511195
16,4.064602,99.259259,-30.484516,-7.5,-0.033333,25.009631,0.514597,-0.511513
16.1,4.064438,99.25463,-30.483286,-7.5,-0.033542,25.009637,0.514844,-0.511824
16.2,4.064275,99.25,-30.48206,-7.5,-0.03375,25.009643,0.515086,-0.512129
16.3,4.064112,99.24537,-30.48084,-7.5,-0.033958,25.009649,0.515324,-0.512427
16.4,4.06395,99.240741,-30.479624,-7.5,-0.034167,25.009654,0.515556,-0.512719
16.5,4.063788,99.236111,-30.478413,-7.5,-0.034375,25.00966,0.515784,-0.513006
16.6,4.063628,99.231481,-30.477207,-7.5,-0.034583,25.009665,0.516007,-0.513286
16.7,4.063467,99.226852,-30.476005,-7.5,-0.034792,25.00967,0.516225,-0.51356
16.8,4.063308,99.222222,-30.474808,-7.5,-0.035,25.009675,0.516439,-0.513829
16.9,4.063149,99.217593,-30.473615,-7.5,-0.035208,25.00968,0.516649,-0.514093
17,4.06299,99.212963,-30.472426,-7.5,-0.035417,25.009685,0.516854,-0.51435
17.1,4.062832,99.208333,-30.471242,-7.5,-0.035625,25.00969,0.517055,-0.514603
17.2,4.062675,99.203704,-30.470062,-7.5,-0.035833,25.009694,0.517252,-0.51485
17.3,4.062518,99.199074,-30.468885,-7.5,-0.036042,25.009699,0.517445,-0.515093
17.4,4.062362,99.194444,-30.467713,-7.5,-0.03625,25.009703,0.517634,-0.51533
17.5,4.062206,99.189815,-30.466544,-7.5,-0.036458,25.009708,0.51782,-0.515563
17.6,4.062051,99.185185,-30.46538,-7.5,-0.036667,25.009712,0.518001,-0.51579
17.7,4.061896,99.180556,-30.464218,-7.5,-0.036875,25.009716,0.518179,-0.516013
17.8,4.061741,99.175926,-30.463061,-7.5,-0.037083,25.00972,0.518353,-0.516232
